Date : 2024-04-17 14:22:03
Directory : /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Editor
Total : 290 files,  -9993 codes, -11408 comments, -1856 blanks, all -23257 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| UnityAssemblyDefinition |          2 |          3 |          0 |          0 |          3 |
| C#                      |        288 |     -9,996 |    -11,408 |     -1,856 |    -23,260 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        290 |     -9,993 |    -11,408 |     -1,856 |    -23,257 |
| . (Files)                                                                                                                                             |          1 |         19 |          0 |          0 |         19 |
| ..                                                                                                                                                    |        218 |    -20,101 |    -12,190 |     -3,597 |    -35,888 |
| ../Runtime                                                                                                                                            |        218 |    -20,101 |    -12,190 |     -3,597 |    -35,888 |
| ../Runtime (Files)                                                                                                                                    |          1 |        -16 |          0 |          0 |        -16 |
| ../Runtime/Base                                                                                                                                       |          4 |       -426 |       -113 |        -92 |       -631 |
| ../Runtime/Config                                                                                                                                     |          7 |       -564 |       -390 |       -114 |     -1,068 |
| ../Runtime/DataNode                                                                                                                                   |          1 |        -92 |        -97 |        -22 |       -211 |
| ../Runtime/DataTable                                                                                                                                  |          8 |       -582 |       -399 |       -120 |     -1,101 |
| ../Runtime/Debugger                                                                                                                                   |         31 |     -2,725 |       -295 |       -338 |     -3,358 |
| ../Runtime/Download                                                                                                                                   |          9 |       -892 |       -450 |       -167 |     -1,509 |
| ../Runtime/Entity                                                                                                                                     |         15 |     -1,455 |       -874 |       -287 |     -2,616 |
| ../Runtime/Event                                                                                                                                      |          1 |        -68 |        -53 |        -15 |       -136 |
| ../Runtime/FileSystem                                                                                                                                 |          4 |       -304 |       -141 |        -64 |       -509 |
| ../Runtime/Fsm                                                                                                                                        |          1 |       -114 |       -129 |        -27 |       -270 |
| ../Runtime/Localization                                                                                                                               |          7 |       -676 |       -711 |       -127 |     -1,514 |
| ../Runtime/Network                                                                                                                                    |          6 |       -316 |       -208 |        -65 |       -589 |
| ../Runtime/ObjectPool                                                                                                                                 |          1 |       -372 |       -571 |        -91 |     -1,034 |
| ../Runtime/Procedure                                                                                                                                  |          1 |        -91 |        -38 |        -20 |       -149 |
| ../Runtime/ReferencePool                                                                                                                              |          2 |        -59 |        -36 |        -14 |       -109 |
| ../Runtime/Resource                                                                                                                                   |         29 |     -4,494 |     -1,751 |       -711 |     -6,956 |
| ../Runtime/Scene                                                                                                                                      |          8 |       -663 |       -344 |       -133 |     -1,140 |
| ../Runtime/Setting                                                                                                                                    |          6 |       -712 |       -698 |       -174 |     -1,584 |
| ../Runtime/Sound                                                                                                                                      |         13 |     -1,315 |       -625 |       -246 |     -2,186 |
| ../Runtime/UI                                                                                                                                         |         15 |     -1,223 |       -690 |       -237 |     -2,150 |
| ../Runtime/Utility                                                                                                                                    |         10 |     -1,609 |     -2,516 |       -241 |     -4,366 |
| ../Runtime/Variable                                                                                                                                   |         30 |       -603 |       -592 |       -148 |     -1,343 |
| ../Runtime/WebRequest                                                                                                                                 |          8 |       -730 |       -469 |       -144 |     -1,343 |
| Inspector                                                                                                                                             |         23 |      2,134 |        150 |        414 |      2,698 |
| Misc                                                                                                                                                  |         10 |        664 |        190 |        131 |        985 |
| ResourceAnalyzer                                                                                                                                      |          7 |        935 |         46 |        136 |      1,117 |
| ResourceBuilder                                                                                                                                       |         12 |      2,381 |        221 |        387 |      2,989 |
| ResourceCollection                                                                                                                                    |          6 |        741 |         84 |        163 |        988 |
| ResourceEditor                                                                                                                                        |          9 |      2,045 |         61 |        336 |      2,442 |
| ResourcePackBuilder                                                                                                                                   |          2 |        912 |         15 |        120 |      1,047 |
| ResourceSyncTools                                                                                                                                     |          2 |        277 |         15 |         54 |        346 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                                                                              | language                | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| /Users/hehuan/fork/StarForce/Assets/GameFramework/Scripts/Editor/Inspector/BaseComponentInspector.cs                                                  | C#                      |        273 |          6 |         41 |        320 |
