"filename", "language", "XML", "C#", "comment", "blank", "total"
"/Users/hehuan/fork/StarForce/Assets/GameMain/Configs/BuildSettings.xml", "XML", 11, 0, 0, 1, 12
"/Users/hehuan/fork/StarForce/Assets/GameMain/Configs/DefaultDictionary.xml", "XML", 35, 0, 0, 1, 36
"/Users/hehuan/fork/StarForce/Assets/GameMain/Configs/ResourceBuilder.xml", "XML", 18, 0, 0, 0, 18
"/Users/hehuan/fork/StarForce/Assets/GameMain/Configs/ResourceCollection.xml", "XML", 158, 0, 0, 0, 158
"/Users/hehuan/fork/StarForce/Assets/GameMain/Configs/ResourceEditor.xml", "XML", 16, 0, 0, 0, 16
"/Users/hehuan/fork/StarForce/Assets/GameMain/Localization/ChineseSimplified/Dictionaries/Default.xml", "XML", 29, 0, 0, 1, 30
"/Users/hehuan/fork/StarForce/Assets/GameMain/Localization/ChineseTraditional/Dictionaries/Default.xml", "XML", 29, 0, 0, 1, 30
"/Users/hehuan/fork/StarForce/Assets/GameMain/Localization/English/Dictionaries/Default.xml", "XML", 29, 0, 0, 1, 30
"/Users/hehuan/fork/StarForce/Assets/GameMain/Localization/Korean/Dictionaries/Default.xml", "XML", 29, 0, 0, 1, 30
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Base/GameEntry.Builtin.cs", "C#", 0, 131, 69, 23, 223
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Base/GameEntry.Custom.cs", "C#", 0, 22, 9, 5, 36
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Base/GameEntry.cs", "C#", 0, 12, 9, 3, 24
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/BuiltinData/BuiltinDataComponent.cs", "C#", 0, 57, 6, 12, 75
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/BinaryReaderExtension.cs", "C#", 0, 41, 6, 10, 57
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DRAircraft.cs", "C#", 0, 179, 42, 32, 253
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DRArmor.cs", "C#", 0, 64, 21, 13, 98
